Year,Friction_Event,Friction_Date,Compliance_Event,Compliance_Date,Lag_Days,Source_URL
2017,Travel ban EO 13769 (mass protests / airport chaos),2017-01-27,Trump EO: Enhancing Public Safety in the Interior of the United States,2017-01-30,+3,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2017,Travel ban EO 13769 (mass protests / airport chaos),2017-01-27,Trump EO: Border Security and Immigration Enforcement Improvements,2017-01-30,+3,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2017,Travel ban EO 13769 (mass protests / airport chaos),2017-01-27,Trump EO: Expediting Environmental Reviews for High Priority Infrastructure Projects,2017-01-30,+3,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2017,Travel ban EO 13769 (mass protests / airport chaos),2017-01-27,Trump EO: Protecting the Nation From Foreign Terrorist Entry (revised travel ban),2017-02-01,+5,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2017,Travel ban EO 13769 (mass protests / airport chaos),2017-01-27,Trump EO: Reducing Regulation and Controlling Regulatory Costs,2017-02-03,+7,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2017,Travel ban EO 13769 (mass protests / airport chaos),2017-01-27,Trump EO: Ethics Commitments by Executive Branch Appointees,2017-02-03,+7,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2017,Travel ban EO 13769 (mass protests / airport chaos),2017-01-27,Trump EO: Core Principles for Regulating the United States Financial System (Dodd-Frank rollback),2017-02-08,+12,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2017,Charlottesville Unite the Right rally,2017-08-12,Trump EO 13807: Establishing Discipline and Accountability in the Environmental Review and Permitting Process for Infrastructure Projects,2017-08-24,+12,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2017,Weinstein story breaks (NYT/New Yorker),2017-10-05,Trump EO: Promoting Healthcare Choice and Competition Across the United States,2017-10-17,+12,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2018,Trump-Kim Singapore summit (media saturation),2018-06-12,DOJ Inspector General report on Clinton email investigation released,2018-06-14,+2,https://www.justice.gov/file/1071991/dl
2018,Kavanaugh confirmation hearings / Blasey Ford testimony,2018-09-27,USMCA trade agreement reached,2018-10-01,+4,https://ustr.gov/trade-agreements/free-trade-agreements/united-states-mexico-canada-agreement
2018,Miami Herald Perversion of Justice (Epstein expose),2018-11-28,Trump EO: Blocking Property of Certain Persons Contributing to the Situation in Nicaragua,2018-11-29,+1,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2018,Miami Herald Perversion of Justice (Epstein expose),2018-11-28,Trump EO: Providing for the Closing of Executive Departments (Dec 5 closure),2018-12-04,+6,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2018,Miami Herald Perversion of Justice (Epstein expose),2018-11-28,DOJ review of Epstein plea deal initiated,2018-12-04,+6,https://www.justice.gov
2019,Epstein arrested (SDNY),2019-07-06,Trump EO: Advancing American Kidney Health,2019-07-15,+9,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2019,Epstein arrested (SDNY),2019-07-06,Trump EO: Collecting Information About Citizenship Status in Connection With the Decennial Census,2019-07-16,+10,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2019,Epstein arrested (SDNY),2019-07-06,Trump EO: Maximizing Use of American-Made Goods Products and Materials,2019-07-18,+12,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2019,Epstein death (ruled suicide),2019-08-10,13F filing deadline (Q2 2019),2019-08-14,+4,https://www.sec.gov/search-filings
2019,Trump first impeachment (House vote),2019-12-18,Trump EO: Combating Anti-Semitism,2019-12-16,-2,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2019,Trump first impeachment (House vote),2019-12-18,NDAA FY2020 signed ($738B; creates U.S. Space Force),2019-12-20,+2,https://en.wikipedia.org/wiki/National_Defense_Authorization_Act_for_Fiscal_Year_2020
2019,Trump first impeachment (House vote),2019-12-18,Trump EO: Providing for the Closing of Executive Departments,2019-12-20,+2,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2019,Trump first impeachment (House vote),2019-12-18,Trump EO: Adjustments of Certain Rates of Pay,2019-12-30,+12,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2020,COVID-19 national emergency declared,2020-03-13,Trump EO: Prioritizing and Allocating Health and Medical Resources (DPA),2020-03-23,+10,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2020,COVID-19 national emergency declared,2020-03-13,Trump EO: Preventing Hoarding of Health and Medical Resources (DPA),2020-03-26,+13,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2020,COVID-19 national emergency declared,2020-03-13,CARES Act signed ($2.2 trillion stimulus),2020-03-27,+14,https://www.congress.gov/bill/116th-congress/house-bill/748
2020,George Floyd killing / nationwide protests begin,2020-05-25,Trump EO: Preventing Online Censorship,2020-06-02,+8,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2020,George Floyd killing / nationwide protests begin,2020-05-25,Trump EO: Advancing International Religious Freedom,2020-06-05,+11,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2020,2020 Presidential Election Day,2020-11-03,13F filing deadline (Q3 2020),2020-11-16,+13,https://www.sec.gov/search-filings
2021,January 6 Capitol breach,2021-01-06,Trump EO: Adjustments of Certain Rates of Pay,2021-01-06,0,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2021,January 6 Capitol breach,2021-01-06,Trump EO: Addressing the Threat Posed by Applications Developed or Controlled by Chinese Companies,2021-01-08,+2,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2021,January 6 Capitol breach,2021-01-06,Trump EO: Promoting Small Modular Reactors for National Defense and Space Exploration,2021-01-14,+8,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2021,January 6 Capitol breach,2021-01-06,Trump EO: EPA Order of Succession,2021-01-15,+9,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2021,January 6 Capitol breach,2021-01-06,Trump EO: Amending EO 13959 — Chinese Military Companies Securities,2021-01-19,+13,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2021,January 6 Capitol breach,2021-01-06,Trump 2nd impeachment (House vote),2021-01-13,+7,https://www.congress.gov/bill/117th-congress/house-resolution/24/text
2021,January 6 Capitol breach,2021-01-06,Biden inaugurated; signs 17 EOs Day 1 (Paris Climate / travel ban / mask mandate / racial equity / Keystone XL / DACA / etc.),2021-01-20,+14,https://www.federalregister.gov/presidential-documents/executive-orders/joe-biden/2021
2021,Trump 2nd impeachment trial (Senate begins),2021-02-09,Biden EO: Rebuilding and Enhancing Programs To Resettle Refugees and Planning for Climate Change on Migration,2021-02-09,0,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2021,Trump 2nd impeachment trial (Senate begins),2021-02-09,Biden EO: Blocking Property With Respect to the Situation in Burma,2021-02-12,+3,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2021,Trump 2nd impeachment trial (Senate begins),2021-02-09,Biden EO: Establishment of the White House Office of Faith-Based and Neighborhood Partnerships,2021-02-18,+9,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2021,Trump 2nd impeachment trial (Senate begins),2021-02-09,Biden EO: Revocation of Executive Order 13801,2021-02-23,+14,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2021,COVID origin lab-leak debate peaks (WSJ report),2021-05-23,Biden EO: Climate-Related Financial Risk,2021-05-25,+2,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2021,COVID origin lab-leak debate peaks (WSJ report),2021-05-23,Biden directs IC 90-day COVID origins review,2021-05-26,+3,https://bidenwhitehouse.archives.gov/briefing-room/statements-releases/2021/05/26/statement-by-president-joe-biden-on-the-investigation-into-the-origins-of-covid-19/
2021,COVID origin lab-leak debate peaks (WSJ report),2021-05-23,Biden EO: Advancing Equity for Asian Americans Native Hawaiians and Pacific Islanders,2021-06-03,+11,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2021,Afghanistan Kabul airport fall,2021-08-15,Biden EO: Blocking Property With Respect to Certain Russian Energy Export Pipelines,2021-08-24,+9,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2022,Russia invades Ukraine,2022-02-24,Biden EO 14065: Blocking property re: Donetsk/Luhansk (pre-positioned),2022-02-21,-3,https://www.federalregister.gov/documents/2022/02/23/2022-04020/blocking-property-of-certain-persons-and-prohibiting-certain-transactions-with-respect-to-continued
2022,Russia invades Ukraine,2022-02-24,OFAC Russia sanctions regulations codified (31 CFR Part 587),2022-03-01,+5,https://www.venable.com/insights/publications/2022/03/us-sanctions-against-russia-summary-as-of-mar
2022,Russia invades Ukraine,2022-02-24,Biden EO: Prohibiting Certain Imports and New Investments With Respect to Continued Russian Federation Efforts,2022-03-10,+14,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2022,Dobbs v. Jackson (Roe v. Wade overturned),2022-06-24,Biden EO 14076: Protecting Access to Reproductive Healthcare,2022-07-08,+14,https://bidenwhitehouse.archives.gov/briefing-room/presidential-actions/
2022,FBI search of Mar-a-Lago,2022-08-08,CHIPS and Science Act signed ($52.7B semiconductors),2022-08-09,+1,https://en.wikipedia.org/wiki/CHIPS_and_Science_Act
2022,FBI search of Mar-a-Lago,2022-08-08,PACT Act signed (veterans burn pit healthcare),2022-08-10,+2,https://www.congress.gov/bill/117th-congress/house-bill/3967
2022,FBI search of Mar-a-Lago,2022-08-08,Biden EO: Securing Access to Reproductive and Other Healthcare Services,2022-08-11,+3,../federal_register/Spider%20Output%20Files/items_federal_register_eo_1.json
2022,FBI search of Mar-a-Lago,2022-08-08,13F filing deadline (Q2 2022),2022-08-15,+7,https://www.sec.gov/search-filings
2022,FBI search of Mar-a-Lago,2022-08-08,Inflation Reduction Act signed ($369B climate + healthcare),2022-08-16,+8,https://bidenwhitehouse.archives.gov/briefing-room/statements-releases/2022/08/16/
