Filer,SEC_CIK,Filing_Quarter,Security_Name,Ticker,Shares_Held,Market_Value_USD,Pct_of_Portfolio,Position_Change_vs_Prior,Sector,Trident_Relevance,Source,Notes
Public Investment Fund,0001767640,Q4 2025,Uber Technologies Inc,UBER,72840541,5950000000,45.95%,Maintained (shares unchanged; value down from $6.8B),Ride-hailing/Tech,Medium — PIF portfolio anchor,SEC 13F filed Feb 17 2026 / Fintel / WhaleWisdom,Largest PIF holding; value decline due to market movement
Public Investment Fund,0001767640,Q4 2025,Electronic Arts Inc,EA,24807932,5070000000,39.15%,Maintained (shares unchanged; value UP from $3.96B),Gaming/Tech,HIGH — EA acquisition consortium lead,SEC 13F filed Feb 17 2026 / Fintel,9.9% stake; shareholders approved $55B take-private Dec 2025; PIF will roll over stake
Public Investment Fund,0001767640,Q4 2025,Lucid Group Inc,LCID,177088868,1870000000,14.44%,⚠️ DATA CONFLICT — Q3 showed ~1.77B shares; Q4 shows ~177M shares. Value DOWN from $3.74B. Possible reverse split or reporting difference — NEEDS VERIFICATION,EV/Auto,Low — domestic Saudi industry play,SEC 13F filed Feb 17 2026 / Fintel,Share count discrepancy flagged; value drop ~50% from Q3
Public Investment Fund,0001767640,Q4 2025,Allurion Technologies Inc — Warrants,ALUR,1100000,Unknown,Unknown,NEW POSITION — warrants,Healthcare/MedTech,Low,SEC 13F filed Feb 17 2026,Small warrant position; new Q4 entry
Public Investment Fund,0001767640,Q4 2025,Clarivate PLC,CTEV,1300000,54800000,0.42%,NEW POSITION,Data Analytics/Research,Low,SEC 13F filed Feb 17 2026,New Q4 entry; analytics and IP company
Public Investment Fund,0001767640,Q4 2025,Take-Two Interactive Software Inc,TTWO,0,0,0.00%,🚩 EXITED — 11414680 shares transferred to Savvy Games Group (PIF subsidiary) Dec 2025. Still held indirectly.,Gaming/Tech,HIGH — gaming sector consolidation signal,SEC 13F filed Feb 17 2026 / news reports,Transferred to Savvy Games Group; removed from PIF direct 13F; still PIF-controlled
Mubadala Investment Company PJSC,0001704268,Q4 2025,GlobalFoundries Inc,GFS,450387613,16140000000,92.33%,Maintained (shares stable; value slightly decreased),Semiconductors,CRITICAL — CHIPS Act + Trusted Foundry,SEC 13F filed Feb 17 2026 / Fintel,81.1% ownership; Category 1A DoD Trusted Foundry; $1.59B CHIPS funding
Mubadala Investment Company PJSC,0001704268,Q4 2025,iShares Bitcoin Trust ETF,IBIT,8726972,567000000,3.24%,Maintained,Crypto/ETF,Low,SEC 13F filed Feb 17 2026 / Fintel,Bitcoin exposure via ETF
Mubadala Investment Company PJSC,0001704268,Q4 2025,Blue Owl Technology Finance Corp,OTF,29130491,402600000,2.30%,Maintained,Private Credit,Low,SEC 13F filed Feb 17 2026 / Fintel,Technology-focused lending
Mubadala Investment Company PJSC,0001704268,Q4 2025,Arm Holdings PLC,ARM,1501960,212500000,1.22%,Maintained (slight value decrease),Semiconductors,Medium — chip design layer,SEC 13F filed Feb 17 2026 / Fintel,SoftBank-linked semiconductor designer
Mubadala Investment Company PJSC,0001704268,Q4 2025,Klarna Group PLC,KLAR,2991658,110000000,0.63%,Maintained,Fintech,Low — but 3-way overlap with Silver Lake + SoftBank,SEC 13F filed Feb 17 2026 / Fintel,Klarna now held by Mubadala + Silver Lake + SoftBank = 3-way overlap
