Claim_ID,Category,Claim_Description,Verification_Status,Evidence_Summary,Date_Verified,Primary_Source,Additional_Sources,Notes_on_Accuracy
1,Saudi_MNNA,"Saudi Arabia designated Major Non-NATO Ally by Trump",VERIFIED,"Trump designated Saudi Arabia MNNA on November 18, 2025 during MBS White House visit",2025-11-18,https://www.aljazeera.com/news/2025/11/19/saudi-arabia-designated-major-non-nato-ally-of-us-gets-f-35-warplanes-deal,"Axios, Fox News, Washington Examiner",Date confirmed as Nov 18-19 2025; includes F-35 deal approval
2,Saudi_Investment,"$1 trillion investment pledge from Saudi Arabia to US",VERIFIED_WITH_CAVEATS,"MBS pledged to increase investment to $1T; however initial White House signing showed $600B with later revision to ~$1T. Economists questioned whether full amount would materialize.",2025-11-19,https://www.bloomberg.com/news/articles/2025-05-13/trump-mbs-tout-1-trillion-dollar-pledge-as-details-remain-elusive,"CNBC, Military.com, White House Fact Sheet","Amount announced but details remain elusive; signage at conference showed $300B cumulative deals"
3,Saudi_Pakistan_SMDA,"Strategic Mutual Defence Agreement signed between Saudi Arabia and Pakistan",VERIFIED,"SMDA signed September 17, 2025 in Riyadh by MBS and PM Shehbaz Sharif. Agreement states aggression against either country is aggression against both.",2025-09-17,https://en.wikipedia.org/wiki/Strategic_Mutual_Defence_Agreement,"Al Jazeera, Chatham House, Atlantic Council, CSIS","Full text not published; nuclear umbrella provision ambiguous per Reuters"
4,Turkey_Islamic_NATO,"Turkey seeking to join Saudi-Pakistan defense pact (Islamic NATO)",VERIFIED,"Turkey FM Hakan Fidan confirmed talks on Jan 15, 2026. Bloomberg reported advanced stage negotiations.",2026-01-15,https://www.bloomberg.com/news/articles/2026-01-09/turkey-said-to-seek-membership-of-saudi-pakistan-defense-pact,"India Today, Zee News, 24 News HD","Talks confirmed but no formal accession yet"
5,DOGE_USAID_Cuts,"DOGE shut down USAID operations and cut federal workforce",VERIFIED,"USAID faced $6.5B in cuts; ~10,000 staffers placed on leave; agency folded into State Dept by November 2025. Federal workforce down 270,000+ from start of year.",2025-01-2025-11,https://www.epi.org/policywatch/doge-shuts-down-usaid/,"CREW, Wikipedia, Al Jazeera, Brookings","Professor Nichols estimates 720,200+ deaths from aid cuts as of Jan 2026"
6,DOGE_Spending_Paradox,"DOGE workforce cuts achieved but spending increased",VERIFIED,"Cato Institute: DOGE had no noticeable effect on spending trajectory but achieved largest peacetime workforce reduction on record. Government spending up $248B per Yahoo Finance.",2025-2025,https://finance.yahoo.com/news/elon-musks-doge-tally-the-federal-workforce-is-down-while-government-spending-is-up-192850019.html,"Cato Institute, NYT, Wall Street Journal","Original $2T savings promise revised to $150B; actual savings disputed"
7,Yemen_Mukalla_Airstrike,"Saudi F-15s bombed UAE-backed forces in Mukalla, Yemen",VERIFIED,"Saudi-led coalition struck Mukalla port Dec 30, 2025 targeting weapons shipment for UAE-backed STC. Coalition claimed no casualties.",2025-12-30,https://www.washingtonpost.com/world/2025/12/30/saudi-arabia-yemen-strikes-uae-mukalla/,"Al Jazeera, PBS, CNN, Middle East Eye","Triggered UAE withdrawal announcement; unprecedented Saudi-UAE friction"
8,Wang_Yi_Saudi_Visit,"Chinese FM Wang Yi visited Saudi Arabia during December convergence window",VERIFIED,"Wang Yi visited Saudi Arabia Dec 14, 2025 meeting MBS. China pledged to be most trustworthy partner in Saudi development.",2025-12-14,https://www.fmprc.gov.cn/eng/wjbzhd/202512/t20251216_11773566.html,"CGTN, Bloomberg, China Daily","35th anniversary of diplomatic relations; visa exemption agreement signed"
9,Epstein_Files_Release,"DOJ released Epstein files Dec 19 with redaction failures",VERIFIED,"DOJ partially released files Dec 19, missed transparency deadline. NYT exposed copy-paste redaction failures Dec 23. Over 1M additional documents discovered.",2025-12-19,https://www.justice.gov/epstein,"ABC News, CNBC, NPR, TIME, Al Jazeera","Less than 1% released as of Jan 2026; victims accused DOJ of legal violations"
10,Omeed_Malik_TCN,"Omeed Malik/1789 Capital funded Tucker Carlson Network",VERIFIED,"1789 Capital invested $15M seed in Carlson's Last Country (Oct 2023). Malik is 1789 Capital president; co-founded with Rebekah Mercer.",2023-10-2023,https://en.wikipedia.org/wiki/Omeed_Malik,"Axios, Fortune, Yahoo Finance, InfluenceWatch","TCN later became profitable and bought out investors"
