Entity_Name,Entity_Type,SEC_CIK,13F_Status,Latest_Filing_Quarter,Reported_AUM_USD,Key_Holdings_Summary,Trident_Relevance_Tier,Pre_13F_Baseline_Match,Notes,Source_URLs
Public Investment Fund (PIF),Gulf SWF,0001767640,Active 13F filer,Q4 2025,12950000000,Uber ($5.95B); EA ($5.07B); Lucid ($1.87B); Clarivate ($54.8M); Allurion warrants (small). TTWO EXITED (→ Savvy Games Group),TIER 1 — CRITICAL,YES — EA position confirmed at 9.9% (24.8M shares UNCHANGED in Q4). TTWO transferred to Savvy Games Dec 2025.,Q4: 5 positions (down from 6). TTWO transferred to PIF subsidiary Savvy Games Group Dec 2025. EA shareholders approved $55B take-private. LCID share count discrepancy flagged (⚠️ 1.77B Q3 vs 177M Q4 — verify). See Q4_2025_Delta_Findings.md,https://fintel.io/i/public-investment-fund | https://whalewisdom.com/filer/public-investment-fund
Mubadala Investment Company PJSC,Gulf SWF,0001704268,Active 13F filer,Q4 2025,17480000000,GlobalFoundries ($16.14B — 81.1% ownership); iShares Bitcoin Trust ($567M); Blue Owl Tech Finance ($403M); ARM ($213M); Klarna ($110M — 3-way overlap); Adobe ($8M — NEW). LMT FULLY EXITED.,TIER 1 — CRITICAL,PARTIALLY — GFS dominance confirmed. Q3 LMT defense entry FULLY REVERSED in Q4. NO Oracle/Palantir/defense entries. Defense signal downgraded.,Q4: 64 positions (up from 58). 🚩 CRITICAL: Mubadala FULLY EXITED Lockheed Martin in Q4 — opposite of predicted defense expansion. Also exited Leidos. Added Adobe ($8M) and Pony AI ($25.3M) — tech/AI not defense. Zero US defense exposure.,https://fintel.io/i/mubadala-investment-co-pjsc | https://13f.info/manager/0001704268
Silver Lake Group LLC,Private Equity,0001418226,Active 13F filer,Q4 2025,5030000000,Unity Software ($1.39B); First Advantage ($1.38B); EverCommerce ($747M); Klarna ($530M — 3-way overlap); N-able ($480M); MSG Sports ($431M); + smaller positions,TIER 1 — CRITICAL,PARTIALLY — No Oracle position; EA acquisition role confirmed but private; Klarna overlap now 3-way (Mubadala + Silver Lake + SoftBank),Q4: 11 positions (down from 13). Portfolio largely stable (-1.9%). No EA (private deal). No Oracle. No defense. Klarna overlap strengthened to 3-way signal.,https://fintel.io/i/silver-lake-group | https://13f.info/13f/000119312525281718-silver-lake-group-l-l-c-q3-2025
Affinity Partners GP LP,PE/Kushner Fund,0002059583,Active 13F filer,Q4 2025,630514194,QXO Inc ($630.5M — 100% of portfolio),TIER 1 — CRITICAL,YES — QXO sole holding maintained. Shares +14523 (+0.04%). Value up $622.7M → $630.5M. 100% concentration unchanged.,"QXO = $11B Beacon + $2.25B Kodiak acquisitions; Kushner on board; 100% concentration maintained; Apollo provides $3B credit. Filed earliest (Feb 13, 2026).",https://whalewisdom.com/filer/affinity-partners-gp-lp | https://fintel.io/i/affinity-partners-gp-lp-1582
Qatar Investment Authority,Gulf SWF,0001441449,13D/13G filer only (no 13F-HR),Q4 2025 (no 13F filed),Unknown,GBTG (16.6%); Vistra (5.5%); ALHC (6.69%); ESTA (8.27%); SION (5%) — via 13D/13G only. NEW: $20B AI infrastructure JV with Brookfield (Dec 2025),TIER 2 — MODERATE,LIMITED — No Oracle/EA/defense positions visible. No 13F filed for Q4 2025. $20B Brookfield AI JV is structurally significant but private.,QIA continues to file selectively via 13D/13G. $20B Brookfield AI JV announced Dec 2025. Apollo also holds GBTG (new Q4 cross-reference).,https://fintel.io/i/qatar-investment-authority
Apollo Management Holdings LP,Alternative Asset Manager,0001449434,Active 13F filer,Q4 2025,12200000000,Aspen Insurance (dominant); EchoStar (>$1.3B — 🚩+330%); ADT ($888M); HGV ($763M); SMH PUTS (NEW — semiconductor hedge); GBTG (NEW — QIA overlap); Rackspace; +100 other positions,TIER 1 — CRITICAL (credit pipeline; 13F structurally irrelevant),LIMITED — 13F shows portfolio doubled (53→108 positions; $9.12B→$12.2B +33.8%). EchoStar +330%. But CREDIT BOOK remains the signal: $3B QXO + $3.5B xAI + $29B Meta + Stream DC.,Q4: 108 positions (doubled from 53). Portfolio +33.8%. SMH puts = semiconductor hedge. GBTG = new QIA overlap. 13F structurally irrelevant for Apollo's Trident role. See 13F_Supplementary_Analysis_Feb14_2026.md and Q4_2025_Delta_Findings.md,https://fintel.io/i/apollo-management-holdings | https://whalewisdom.com/filer/apollo-management-holdings-l-p | https://www.apollo.com/strategies/asset-management/credit
1789 Capital,VC/Growth Equity,N/A — No CIK found,NO 13F FILED,N/A,N/A,N/A — Private fund investments only (Anduril; Vulcan Elements; Skild AI; media companies),TIER 1 — CRITICAL,NOT FOUND — As baseline predicted may not meet threshold or structures below it,Form D filings exist for '1789 Capital Fund I LP' and '1789 Capital Oracle LP'; $2B+ AUM claimed but no 13F = either below threshold or no qualifying securities,https://aum13f.com/firm/1789-capital-management-llc | https://13f.info/form-d/0001965234-1789-capital-fund-i-lp
Energy Capital Partners,Energy PE,Multiple CIKs,Active 13F filer,Q3 2025,Unknown,Historically: Calpine; Dynegy; energy infrastructure; current positions via WhaleWisdom,TIER 2 — MODERATE,UNCERTAIN — ADQ/ECP $25B partnership is private; 13F shows public energy positions only,Multiple fund vehicles file separately (ECP III; ECP IV; ECP Management LP). No significant Q4 change noted.,https://whalewisdom.com/filer/energy-capital-partners-management-lp
MGX (Abu Dhabi),Gulf AI Investment Vehicle,Unknown,NO 13F FOUND,N/A,N/A,N/A — Investments are in private companies (OpenAI; xAI; Mistral; Aligned Data Centers),TIER 1 — CRITICAL,NOT FOUND — Newer entity; investments primarily in private AI companies not 13F-eligible,15% stake in TikTok USDS is private JV structure; Stargate participation is private; may file if/when US-listed portfolio exceeds $100M,N/A
Colombier Acquisition Corp III (SPAC),SPAC — 1789 Capital,2091024,S-1 filed; IPO Feb 2026,N/A,260000000,SPAC — no operating business yet; searching for acquisition target,TIER 2 — MODERATE,CONFIRMED — IPO at $260M as predicted; board includes Trump Jr. / Blake Masters / Laura Ingraham / Chamath,CIK 2091024; NYSE: CLBR/U; Colombier Sponsor III LLC holds 25.28% (10.1M shares); too new for 13F institutional holder data,https://www.spacresearch.com/symbol/CLBR3 | https://www.sec.gov/Archives/edgar/data/2091024
Palantir Technologies Inc,Defense/Data Analytics,0001321655,Active 13F subject (not filer),Q4 2025,N/A — tracked as security not filer,"$10B Army enterprise (Aug 2025); PFCS Forward IL5/IL6 (Feb 12 2026); £240M UK MoD no-bid; $970.5M federal contracts (2025); ICE enforcement; DOGE ""mega API"". Q4: Norges Bank ~29M shares (~$5.15B); NO Gulf SWF found.",TIER 2 — MODERATE,N/A — entity report (not 13F baseline). Q4 beard search: ❌ No Gulf SWF found. Norges Bank major new sovereign entry (~$5.15B).,"Thiel-founded; In-Q-Tel origin; Anduril consortium; Norges Bank ~29M shares ($5.15B — major new sovereign entry); NO Gulf SWF found Q3 or Q4 2025. See Q4_2025_Delta_Findings.md",https://fintel.io/so/us/pltr | https://whalewisdom.com/stock/pltr
Cascade Investment LLC (Bill Gates),Foundation / Family Office,0001061768,Active 13F filer,Q4 2025,35360000000,Foundation Trust: BRK.B (27.6%); WM (18%); CNI (14.5%); MSFT (10.5%); CAT (10.3%). 23 holdings. Cascade LLC: $149.8M / 143 small positions (VTI; SPTM; AAPL; CIBR),TIER 3 — LOW RELEVANCE,N/A — New entity added Q4. NO Tesla put options found — short claim CANNOT be verified via 13F. NO Oracle or defense positions. 0% turnover in Foundation Trust.,Value/infrastructure focused portfolio. Long-term hold strategy. No Trident-relevant overlap. Tesla short claim unverifiable via 13F.,https://fintel.io/i/cascade-investment | https://whalewisdom.com/filer/bill-melinda-gates-foundation-trust
