Security,Ticker,Exchange,Sector,Gulf_SWF_Holders,Politically_Connected_Fund_Holders,Trident_Domain,Baseline_Prediction,Actual_Finding,Pattern_Signal,Notes
Electronic Arts Inc,EA,NASDAQ,Gaming/Tech,"PIF (24,807,932 shares, 9.9%, $5.07B — UNCHANGED Q3→Q4)",Affinity Partners (consortium member); Silver Lake (consortium member),Tech Consolidation + Gulf Capital,Expected PIF position + consortium holdings in 13F,"CONFIRMED — PIF holds 9.9% ($5.07B) Q4 2025; shares UNCHANGED at 24,807,932. Shareholders approved $55B take-private Dec 2025.",STRONG — Largest all-cash sponsor take-private in history; PIF + Silver Lake + Affinity consortium. Position locked for deal roll-over.,"Deal approved Dec 2025; expected to close Q1 FY2027; post-close EA will be private; $20B JPM debt financing. Q4 PREDICTION RESULT: ❌ No position change — deal locked."
Oracle Corp,ORCL,NASDAQ,Cloud/Data Infrastructure,NO Gulf SWF in top holders (Q3 AND Q4 2025 verified),NO politically-connected fund holders identified. Citadel holds 9.42M call options (+56.8% from Q3) but is market maker.,Data Custody Layer (TikTok USDS),Expected Gulf SWF accumulation in Q4,"NOT FOUND — Q4 re-run confirms: Top holders Vanguard (174.8M, 6.08%); BlackRock (147.86M, 5.15%); State Street (76.53M). Norges Bank 22.25M shares (+13.76% from Q3). NO Gulf SWF. NO suspicious LLCs. Citadel Oracle calls +56.8%.",WEAK — No direct Gulf SWF positioning visible in ORCL in Q3 OR Q4. December pincer window produced no visible results.,"Norges Bank (Norway) continued accumulating (+13.76%). FMR +28%, Capital Research +29%, T. Rowe Price +123%. All are known US/Western managers. Beard search: ❌ No Gulf beards found. Q4 PREDICTION RESULT: ❌ No Gulf SWF Oracle entries found."
GlobalFoundries Inc,GFS,NASDAQ,Semiconductors,"Mubadala (450,387,613 shares, 81.1%, ~$16.14B — STABLE Q3→Q4)",None identified,Silicon Sovereignty + CHIPS Act,Expected Mubadala dominance confirmed,"CONFIRMED — Mubadala holds 81.1% (~$16.14B) Q4 2025; position UNCHANGED. Category 1A Trusted Foundry; $1.59B CHIPS Act funding.",CRITICAL — UAE sovereign fund controls America's highest-security chip manufacturer. Position rock-stable across quarters.,"$500M share buyback announced 2026; Q4 2025 revenue $1.83B. Mubadala's 92%+ of portfolio concentration in GFS."
Palantir Technologies,PLTR,NASDAQ,Defense/AI Analytics,"NO Gulf SWF in top holders (Q3 AND Q4 2025 verified). Norges Bank ~29M shares, ~$5.15B — MAJOR NEW sovereign entry.",NO politically-connected fund holders identified. Citadel holds 24.35M calls + 14.86M puts (market maker).,Defense Tech Layer,Expected Gulf SWF accumulation,"NOT FOUND — Q4 re-run confirms: No Gulf SWF visible. Norges Bank is only sovereign holder (~29M shares, ~$5.15B). Citadel options are market-making.",WEAK — No Gulf SWF. Norges Bank (Norwegian) is major new sovereign entry at ~$5.15B but is not Gulf-linked.,"Norges Bank ~$5.15B position is world's largest SWF entering America's primary defense data analytics company. 45%+ institutional ownership all US-based. Beard search: ❌ No Gulf beards found. Q4 PREDICTION RESULT: ❌ No Gulf SWF Palantir entries found."
QXO Inc (fka Beacon Roofing),QXO,NYSE,Building Products/Construction,None visible in 13F,"Affinity Partners (32,686,065 shares, $630.5M, 100% of Affinity portfolio — Q4 stable +0.04%)",Infrastructure/Construction — Strategic Consolidation Vehicle,Not specifically tracked,"CONFIRMED STABLE — Kushner's sole 13F position maintained. Q4: 32,686,065 shares ($630.5M) vs Q3: 32,671,542 shares ($622.7M). +14,523 shares (+0.04%).",STRONG — Apollo-financed ($3B) strategic consolidation vehicle; $50B revenue target; Kodiak ($2.25B) acquired Feb 2026; full building envelope coverage. 100% Affinity concentration MAINTAINED.,"$11B Beacon + $2.25B Kodiak acquisitions; $10B war chest; Apollo/Temasek/Affinity/Sequoia Heritage backers; addressable market $200B+. Q4 confirms stability — no accumulation or reduction."
Lockheed Martin Corp,LMT,NYSE,Defense/Aerospace,"Mubadala: FULLY EXITED in Q4 2025 (was 18,554 shares, $9.26M in Q3 — NEW entry). Zero Gulf SWF holders as of Q4.",None identified,Defense Layer,Q3: New Mubadala entry noted. Predicted expansion in Q4.,"🚩 REVERSED — Mubadala FULLY EXITED LMT in Q4 2025. Q3 new defense entry completely reversed. Zero shares held.",REVERSED — Q3 defense entry was temporary. Mubadala now has ZERO US defense positions (also exited Leidos). Opposite of predicted defense expansion.,"Q3 entry was directionally significant; Q4 exit reverses it entirely. Combined with Leidos exit = complete retreat from US defense equities. Q4 PREDICTION RESULT: ❌ Defense expansion reversed."
Klarna Group PLC,KLAR,NYSE,Fintech/BNPL,"Mubadala (2.99M shares, $110M); Silver Lake (14.5M shares, $530M). SoftBank also holds (size unknown).",None identified,Fintech/Digital Commerce,Q3: Two-way overlap discovered (Mubadala + Silver Lake),"STRENGTHENED — Now 3-WAY OVERLAP: Mubadala ($110M) + Silver Lake ($530M) + SoftBank (size unknown). Three Trident-tracked entities hold same security.",NOTABLE — 3-way coordinated or aligned entry. Silver Lake is Mubadala LP investor. SoftBank has ARM/Mubadala structural link. Strongest cross-entity equity signal in Q4.,"Klarna IPO Nov 2024 attracted broad interest, so 3-way overlap may reflect thesis alignment not coordination. But structural links between all three holders are documented."
Vistra Corp,VST,NYSE,Energy/Power Generation,"QIA (18.7M shares, 5.5% — REDUCED in Q3; Q4 status unknown — no QIA 13F filed)",None identified,Energy Infrastructure,Not specifically tracked,FOUND Q3 — QIA holds 5.5% but REDUCED position by 18.41%. Q4 update: No new QIA 13F filed; status unknown.,MODERATE — Energy infrastructure position exists but was declining as of Q3.,"QIA reducing energy exposure as of Q3. No Q4 update available (no QIA 13F). Apollo now also in energy-adjacent positions."
Uber Technologies Inc,UBER,NYSE,Ride-hailing/Mobility,"PIF (72,840,541 shares, ~$5.95B — Q4; shares UNCHANGED from Q3; value down from $6.8B due to market)",None identified,Tech/Mobility,Not primary focus,CONFIRMED STABLE — PIF shares UNCHANGED. Value decline is market-driven ($6.8B → $5.95B).,LOW — Standard portfolio holding; not directly Trident-relevant. PIF's largest holding by share count but EA now dominant by strategic importance.,"Stable position; value fluctuation is market movement not rebalancing."
Arm Holdings PLC,ARM,NASDAQ,Chip Design/IP,"Mubadala (1,501,960 shares, ~$212.5M — slight value decrease Q3→Q4)",None identified,Silicon Sovereignty,Not specifically tracked,CONFIRMED STABLE — Mubadala holds ARM position. SoftBank holds ~90% of ARM separately.,MODERATE — Chip IP layer; SoftBank-linked; connects to AI compute supply chain. Mubadala-SoftBank structural link via ARM.,"ARM designs used in most mobile devices; architectural layer of silicon sovereignty. SoftBank Q4 13F confirms it as major ARM holder."
iShares Bitcoin Trust ETF,IBIT,NASDAQ,Crypto/Digital Assets,"Mubadala (8.7M shares, ~$567M — MAINTAINED Q4)",None identified,Digital Finance,Not tracked,CONFIRMED STABLE — Mubadala maintains significant Bitcoin exposure via ETF.,LOW — Crypto positioning by Gulf SWF is notable but not core to Trident thesis.,"Second-largest Mubadala holding after GFS. No change Q3→Q4."
Take-Two Interactive Software,TTWO,NASDAQ,Gaming/Tech,"PIF: EXITED (transferred 11,414,680 shares to Savvy Games Group, PIF subsidiary, Dec 2025). Tiger Global holds $1.5B.",None identified,Gaming Consolidation,Not primary focus,"🚩 PIF EXITED direct holding — transferred to Savvy Games Group (subsidiary). Still PIF-controlled indirectly. Tiger Global holds $1.5B TTWO.",NOTABLE — PIF consolidating gaming under Savvy Games subsidiary. TTWO still PIF-controlled but off direct 13F.,"Combined PIF gaming exposure (EA direct + TTWO via Savvy) maintained. Tiger Global $1.5B TTWO position creates cross-reference."
EchoStar Corp,SATS,NASDAQ,Satellite/Telecom,None identified,Apollo Management (~>$1.3B — 🚩 +330% from $302M in Q3),Satellite Infrastructure,Not specifically tracked,"🚩 MAJOR INCREASE — Apollo position surged from $302M to >$1.3B (+330%). Single largest position change in Q4 dataset.",NOTABLE — Satellite broadband infrastructure. Apollo's largest Q4 increase. Hughes Network Systems (satellite broadband) connection.,"EchoStar owns Hughes Network Systems. Apollo's +330% increase could relate to satellite infrastructure strategy or consolidation play."
Global Business Travel Group,GBTG,NYSE,Business Travel,"QIA (87,659,000 shares, 16.6% — via 13D/13G)",Apollo Management (NEW Q4 position),Business Travel/Corporate Services,Not specifically tracked,NEW CROSS-REFERENCE — Apollo initiated GBTG position in Q4. QIA holds 16.6% via 13D/13G. Two Trident-tracked entities now in same security.,NOTABLE — Apollo-QIA overlap in GBTG. New cross-entity signal.,"QIA is activist-style holder (16.6%); Apollo is new Q4 entrant. Size of Apollo position unknown."
VanEck Semiconductor ETF (PUT OPTIONS),SMH,NASDAQ,Semiconductors/ETF,None directly — but Mubadala dominates GFS (semiconductor),Apollo Management (NEW Q4 — put options),Silicon Sovereignty — Hedging Signal,Not tracked,"NEW — Apollo initiated SMH put options in Q4 2025. Notable given Mubadala's semiconductor dominance (GFS) and SoftBank's Intel position.",NOTABLE — Semiconductor sector hedge or directional bet by Trident credit backbone entity.,"Cannot determine if hedge or directional without expiry/strike data. Cross-reference: Mubadala ($16.14B GFS) is long semiconductors; Apollo is hedging/shorting via SMH puts."
