date_range,query,policy_scope,date,date_confidence,title,link,snippet,date_scraped,verification_status,event_type,country
,U.S. Executive Order artificial intelligence 2015..2025,commentary/media,2025-12-11,,New Executive Order to Establish a National AI Policy ...,https://www.jdsupra.com/legalnews/new-executive-order-to-establish-a-8657213/,"The order, titled “Ensuring a National Policy Framework for Artificial Intelligence” (the “Order”), was signed on December 11, 2025. The Order prioritizes a ...Read more",2025-12-23,Widely Reported,policy,United States
,U.S. Executive Order artificial intelligence 2015..2025,commentary/media,2025-12-11,,AI companions meet the law: New York and California ...,https://www.reuters.com/legal/litigation/ai-companions-meet-law-new-york-california-draw-first-lines--pracin-2025-12-23/,"A new federal variable is the Trump Administration's Dec. 11, 2025, Executive Order, ""Ensuring a National Policy Framework for Artificial Intelligence,"" which ...Read more",2025-12-23,Trusted Media,policy,United States
,U.S. Executive Order artificial intelligence 2015..2025,commentary/media,,,New OMB Memo Imposes Detailed New Disclosure ...,https://databreaches.net/2025/12/23/new-omb-memo-imposes-detailed-new-disclosure-requirement-on-government-contractors-utilizing-llms/,"The goal of the memo is to ensure that purchased models do not run afoul of two Unbiased AI Principles, as per Executive Order 14319, “Preventing Woke Al in the ...Read more",2025-12-23,Widely Reported,policy,United States
,U.S. Executive Order artificial intelligence 2015..2025,commentary/media,,,US economy increases by 4.3% in third quarter in fastest ...,https://abc3340.com/news/nation-world/us-economy-increases-by-43-in-the-third-quarter-commerce-department-report-tariffs-economists-bloomberg-donald-trump,"The growth is booming partially due to investment in artificial intelligence and increased consumer spending, according to the Axios news outlet. ... President ...Read more",2025-12-23,Widely Reported,policy,United States
,U.S. Executive Order artificial intelligence 2015..2025,commentary/media,,,Trump administration accuses China of unfair chip trade ...,https://www.ft.com/content/a1274e4a-baf3-4f63-82f6-2758af1aa745,"The Trump administration has accused China of using unfair trade practices to try and dominate the global chip industry, but said it will not increase ...Read more",2025-12-23,Trusted Media,policy,United States
,Department of Defense AI strategy directive 2015..2025,commentary/media,2025-11-22,,New York Politics & Policy,https://www.politico.com/news/new-york,"Prosecutors in the office are wary of the directive given to Jay Clayton. By Erica Orden | November 22, 2025 07:00 AM. trump-saudi-arabia-57047.jpg · Trump and ...Read more",2025-12-23,Trusted Media,policy,United States
,Department of Defense AI strategy directive 2015..2025,commentary/media,,,World News - Castanet.net,https://www.castanet.net/edition/news-story--5-.htm,"The student was charged with 10 counts of unlawful dissemination of images created by artificial intelligence under a new Louisiana state law, part of a wave of ...Read more",2025-12-23,Widely Reported,policy,United States
,Department of Defense AI strategy directive 2015..2025,commentary/media,,,"Poland and World breaking, daily & top news",https://tvpworld.com/69471092/news,The deal links Polish AI technology with a €1.7 billion German satellite program. Germany and Poland strike tech deal for military satellite system. Germany's ...Read more,2025-12-23,Widely Reported,policy,United States
,Department of Defense AI strategy directive 2015..2025,commentary/media,,,Techdirt.,https://www.techdirt.com/,"Vincke made clear the tech was only being used for things like placeholder text, PowerPoint presentations, and early concept art experiments and that nothing ...Read more",2025-12-23,Widely Reported,policy,United States
,Department of Defense AI strategy directive 2015..2025,commentary/media,,,"The Nation: Latest News, Today's Paper and Daily ePaper",https://www.nation.com.pk/,"Latest and breaking news updates from Pakistan, all the news from Today's Newspaper and ePaper for Lahore, Karachi and Islamabad.",2025-12-23,Widely Reported,policy,United States
