Date_Range,Entity,Event_Description,Capital_Value_or_Metric,Strategic_Node_Type
Nov 2024,Donald Trump Jr.,Joins 1789 Capital as partner post-election,N/A — executive onboarding,Executive_Integration
Jan 15 2025,1789 Capital / Type One Ventures,Pre-inauguration fundraising event at Mar-a-Lago,Undisclosed,Executive_Integration
Early 2025,1789 Capital,Growth Fund AUM starting position,~$200M AUM,AUM_Growth
Late 2024,1789 Capital,Participated in Substack $10M funding round,$10M round (multi-investor),Media_Firewall_Expansion
Apr 14 2025,Omeed Malik,Appointed to Fannie Mae Board of Directors by FHFA Director Bill Pulte,N/A — board appointment,Institutional_Capture
Sep 2025,1789 Capital / Firehawk Aerospace,Led $60M Series C for Firehawk Aerospace (3D-printed solid rocket motors),$60M round (~$15M lead investment),Defense_Pivot
Oct 2025,Colombier Acquisition Corp III,Filed $260M IPO (NYSE: CLBR.U) — SPAC chaired by Omeed Malik with Donald Trump Jr. on board,$260M IPO target,Media_Firewall_Expansion
Late 2025,1789 Capital,Growth Fund AUM surpasses $1B threshold; closes to new investors at ~$2B,~$2B AUM (from ~$200M),AUM_Growth
Late 2025,1789 Capital / Frisbie Group,Launched 1789 Real Estate Fund,$1B target,AUM_Growth
2022-2025,1789 Capital,Portfolio includes SpaceX / Anduril / Groq / Neuralink / Hadrian / PublicSq / Tucker Carlson Network,$5M-$50M typical deal size,Defense_Pivot
